series,person,q,c1,c2,c3,c4,answer,explanation,difficulty
06_industrial_age,second_industrial_revolution,Which energy source became important during the later phase of industrialization?,Wind only,Electricity only,Coal only,Electricity and oil,4,The Second Industrial Revolution saw major use of electricity and oil.,hard
07_modern_world,world_war_i,World War I began in which year?,1912,1914,1916,1918,2,World War I began in 1914 after the assassination of Archduke Franz Ferdinand.,easy
07_modern_world,archduke_franz_ferdinand,The assassination of which figure triggered World War I?,Kaiser Wilhelm II,Archduke Franz Ferdinand,Tsar Nicholas II,Winston Churchill,2,The assassination in Sarajevo in 1914 triggered the war.,normal
07_modern_world,trench_warfare,What type of warfare became common on the Western Front in World War I?,Naval warfare,Trench warfare,Guerrilla warfare,Air combat only,2,"Soldiers fought from trenches, leading to long stalemates.",easy
07_modern_world,treaty_of_versailles,Which treaty officially ended World War I in 1919?,Treaty of Paris,Treaty of Versailles,Congress of Vienna,Yalta Agreement,2,The Treaty of Versailles imposed heavy penalties on Germany.,normal
07_modern_world,world_war_ii,World War II began in which year?,1935,1937,1939,1941,3,World War II began in 1939 when Germany invaded Poland.,easy
07_modern_world,adolf_hitler,Who was the leader of Nazi Germany during World War II?,Benito Mussolini,Adolf Hitler,Joseph Stalin,Franklin D. Roosevelt,2,Hitler led Germany and started aggressive expansion in Europe.,easy
07_modern_world,pearl_harbor,Which event brought the United States into World War II?,Battle of Britain,D-Day,Attack on Pearl Harbor,Battle of Stalingrad,3,"Japan attacked Pearl Harbor in 1941, leading the U.S. to enter the war.",normal
07_modern_world,d_day,What was the code name for the Allied invasion of Normandy in 1944?,Operation Barbarossa,D-Day,Blitzkrieg,Operation Desert Storm,2,D-Day marked the beginning of the liberation of Western Europe.,normal
07_modern_world,holocaust,What term describes the systematic genocide of six million Jews by Nazi Germany?,Holocaust,Cold War,Great Depression,Marshall Plan,1,The Holocaust was a central crime of World War II.,hard
07_modern_world,united_nations,Which organization was founded in 1945 to promote international peace?,League of Nations,European Union,United Nations,NATO,3,The United Nations was created after World War II to prevent future wars.,normal
03_early_modern,absolute_monarchy,What system of government concentrated power in the hands of a king?,Democracy,Republic,Absolute monarchy,Constitutional federation,3,Absolute monarchy gave the king nearly unlimited authority.,easy
03_early_modern,louis_xiv,Which French king symbolized absolute monarchy and ruled for over 70 years?,Louis XIV,Louis XVI,Henry VIII,Charles I,1,Louis XIV (the Sun King) became a model of centralized royal power.,normal
03_early_modern,estates_general,What was the name of the assembly representing the three estates of France?,National Convention,Estates-General,Parliament,Senate,2,"The Estates-General included clergy, nobility, and commoners and was called in 1789.",normal
03_early_modern,columbus,Which explorer reached the Americas in 1492 under the Spanish crown?,Christopher Columbus,Vasco da Gama,Ferdinand Magellan,James Cook,1,"Christopher Columbus sailed west in 1492 and reached the Caribbean, opening sustained contact between Europe and the Americas.",easy
03_early_modern,columbus_origin,Christopher Columbus was originally from which city-state?,Paris,Lisbon,Genoa,London,3,"Columbus was born in Genoa, an Italian maritime republic.",normal
03_early_modern,vasco_da_gama,Which explorer established a sea route from Europe to India by sailing around Africa?,Marco Polo,Vasco da Gama,Amerigo Vespucci,Henry Hudson,2,Vasco da Gama reached India in 1498 by rounding the Cape of Good Hope.,normal
03_early_modern,magellan,Who led the first expedition to circumnavigate the globe?,Ferdinand Magellan,Christopher Columbus,Francis Drake,Bartolomeu Dias,1,"Although Magellan died in the Philippines, his expedition completed the first voyage around the world.",normal
03_early_modern,treaty_of_tordesillas,Which 1494 agreement divided newly discovered lands between Spain and Portugal?,Treaty of Versailles,Treaty of Paris,Treaty of Tordesillas,Peace of Augsburg,3,The Treaty of Tordesillas divided overseas territories between Spain and Portugal.,hard
03_early_modern,columbian_exchange,"What term describes the exchange of plants, animals, and diseases between the Old and New Worlds?",Triangular Trade,Mercantilism,Columbian Exchange,Feudal Contract,3,The Columbian Exchange dramatically reshaped populations and ecosystems on both sides of the Atlantic.,normal
03_early_modern,conquistadors,Spanish conquerors of the Americas were known as what?,Samurai,Vikings,Conquistadors,Pharaohs,3,Conquistadors such as Hernán Cortés led expeditions that conquered indigenous empires.,easy
03_early_modern,aztec_empire,Which civilization was conquered by Hernán Cortés in the early 16th century?,Inca Empire,Aztec Empire,Mayan Civilization,Roman Empire,2,Cortés defeated the Aztec Empire in 1521.,normal
03_early_modern,inca_empire,Which civilization was conquered by Francisco Pizarro?,Ming Dynasty,Inca Empire,Ottoman Empire,Mughal Empire,2,Pizarro conquered the Inca Empire in the 1530s.,normal
03_early_modern,mercantilism,What economic system emphasized accumulating gold and maintaining a trade surplus?,Socialism,Mercantilism,Capitalism,Feudalism,2,Mercantilism encouraged European powers to control colonies and trade routes.,hard
04_enlightenment,montesquieu,Who proposed the principle of separation of powers?,Rousseau,Voltaire,Montesquieu,Hobbes,3,"Montesquieu argued that government power should be divided into legislative, executive, and judicial branches.",normal
04_enlightenment,rousseau,"Who wrote ""The Social Contract"" and argued that sovereignty belongs to the people?",Hobbes,Rousseau,Locke,Diderot,2,"Rousseau introduced the concept of the ""general will.""",hard
04_enlightenment,voltaire,Which Enlightenment thinker strongly defended freedom of speech and religious tolerance?,Voltaire,Kant,Napoleon,Cromwell,1,Voltaire criticized religious intolerance and supported civil liberties.,normal
04_enlightenment,enlightenment_movement,What was the main idea of the Enlightenment movement?,Divine right of kings,Rule by military power,Use of reason to reform society,Return to medieval traditions,3,"The Enlightenment emphasized reason, science, and criticism of traditional authority.",easy
06_industrial_age,industrial_revolution,Where did the Industrial Revolution begin?,France,Germany,United States,Britain,4,The Industrial Revolution began in Britain in the late 18th century.,easy
06_industrial_age,steam_engine,Which invention greatly improved by James Watt powered factories and trains?,Telegraph,Steam engine,Printing press,Compass,2,"James Watt improved the steam engine, making it more efficient for industry.",easy
06_industrial_age,factory_system,What system replaced small home workshops during the Industrial Revolution?,Feudal system,Factory system,Guild system,Slave plantation system,2,The factory system centralized production and used machines for mass production.,normal
06_industrial_age,urbanization,What major social change occurred as people moved to cities for factory jobs?,Colonization,Urbanization,Crusades,Renaissance,2,Urbanization refers to the growth of cities as people moved from rural areas.,easy
06_industrial_age,textile_industry,Which industry was among the first to industrialize?,Textile industry,Automobile industry,Airplane industry,Computer industry,1,Textile production was one of the earliest industries transformed by machines.,normal
06_industrial_age,railways,What transportation innovation helped connect cities and markets?,Canals only,Railways,Horse caravans,Sailing ships only,2,Railways allowed faster movement of goods and people.,easy
05_age_of_revolution,american_revolution,Which country did the American colonies declare independence from in 1776?,France,Spain,Britain,Portugal,3,The Thirteen Colonies declared independence from Britain in 1776.,easy
05_age_of_revolution,declaration_of_independence,Who was the main author of the Declaration of Independence?,George Washington,Thomas Jefferson,Benjamin Franklin,John Adams,2,Thomas Jefferson drafted most of the Declaration of Independence.,normal
05_age_of_revolution,george_washington,Who was the commander of the Continental Army during the American Revolution?,Thomas Jefferson,George Washington,King George III,Napoleon Bonaparte,2,George Washington led the Continental Army to victory.,easy
05_age_of_revolution,boston_tea_party,What protest event in 1773 involved colonists dumping tea into Boston Harbor?,Battle of Yorktown,Boston Tea Party,Stamp Act Congress,Intolerable Acts,2,The Boston Tea Party protested British taxation without representation.,easy
05_age_of_revolution,taxation_without_representation,What phrase expressed colonial anger about being taxed without having representatives in Parliament?,Divine Right of Kings,Taxation without representation,Liberty or death,Manifest destiny,2,Colonists argued they should not be taxed by a Parliament they did not elect.,normal
05_age_of_revolution,battle_of_yorktown,Which battle in 1781 effectively ended the American Revolutionary War?,Battle of Lexington,Battle of Saratoga,Battle of Yorktown,Battle of Waterloo,3,The British surrender at Yorktown in 1781 led to the end of the war.,normal
05_age_of_revolution,king_george_iii,Which British king ruled during the American Revolution?,King Charles I,King George III,King Henry VIII,King James II,2,King George III was the British monarch during the American Revolution.,easy
05_age_of_revolution,french_support,Which country provided crucial military support to the American colonies?,Spain,France,Russia,Prussia,2,"France supported the colonies, partly to weaken Britain after earlier conflicts.",normal
05_age_of_revolution,constitution,"What document, adopted in 1787, established the framework of the U.S. government?",Magna Carta,Articles of Confederation,U.S. Constitution,Bill of Rights,3,The U.S. Constitution created a federal system with separated powers.,normal
05_age_of_revolution,bill_of_rights,What is the name of the first ten amendments to the U.S. Constitution?,Federalist Papers,Bill of Rights,Treaty of Paris,Napoleonic Code,2,The Bill of Rights guarantees fundamental freedoms such as speech and religion.,normal
08_contemporary_world,cold_war,What was the Cold War mainly a conflict between?,Britain and France,United States and Soviet Union,Germany and Italy,China and Japan,2,The Cold War was a long period of political and ideological rivalry between the U.S. and the Soviet Union.,easy
08_contemporary_world,ideological_conflict,What two ideologies were in conflict during the Cold War?,Feudalism and monarchy,Democracy and fascism,Capitalism and communism,Colonialism and nationalism,3,"The U.S. supported capitalism, while the Soviet Union promoted communism.",normal
08_contemporary_world,nuclear_arms_race,What type of weapons were central to Cold War tensions?,Chemical weapons,Nuclear weapons,Bows and arrows,Tanks only,2,"Both sides built large nuclear arsenals, leading to the “arms race.”",easy
08_contemporary_world,yuri_gagarin,Who became the first human to travel into space in 1961?,Neil Armstrong,Yuri Gagarin,John Glenn,Alan Shepard,2,"Yuri Gagarin, a Soviet cosmonaut, orbited Earth in 1961.",normal
08_contemporary_world,space_race,What was the competition between the U.S. and the Soviet Union to achieve space milestones called?,Industrial Race,Arms Convention,Space Race,Cold Treaty,3,The Space Race was part of Cold War rivalry and technological competition.,easy
08_contemporary_world,cuban_missile_crisis,Which 1962 crisis brought the world close to nuclear war?,Berlin Airlift,Cuban Missile Crisis,Korean War,Vietnam War,2,The Cuban Missile Crisis was a confrontation over Soviet missiles in Cuba.,normal
08_contemporary_world,berlin_wall,"What structure, built in 1961, became a symbol of Cold War division in Europe?",Iron Curtain,Berlin Wall,Great Wall,Maginot Line,2,The Berlin Wall divided East and West Berlin until 1989.,easy
08_contemporary_world,iron_curtain,What term described the division between communist Eastern Europe and democratic Western Europe?,Silk Road,Iron Curtain,Golden Line,Red Border,2,“Iron Curtain” symbolized the political barrier between East and West.,normal
08_contemporary_world,soviet_union,When did the Soviet Union officially dissolve?,1985,1989,1991,2001,3,"The Soviet Union dissolved in 1991, marking the end of the Cold War.",normal
08_contemporary_world,united_states_superpower,"After the Soviet Union collapsed, which country became the world’s sole superpower?",China,Germany,United States,France,3,The U.S. emerged as the dominant global superpower after 1991.,hard
05_age_of_revolution,french_revolution,Which event is commonly considered the start of the French Revolution?,Storming of the Bastille,Battle of Waterloo,Congress of Vienna,Execution of Napoleon,1,"The Storming of the Bastille on July 14, 1789 symbolized the beginning of the Revolution.",easy
05_age_of_revolution,louis_xvi,Which French king was executed during the Revolution?,Louis XIV,Louis XV,Louis XVI,Napoleon Bonaparte,3,"Louis XVI was executed in 1793, marking the end of absolute monarchy in France.",easy
05_age_of_revolution,reign_of_terror,Who led the radical phase known as the Reign of Terror?,Danton,Robespierre,Voltaire,Napoleon,2,Maximilien Robespierre led the Reign of Terror (1793–1794).,normal
05_age_of_revolution,napoleon,Who rose to power after the Revolution and later crowned himself Emperor?,Louis XVI,Napoleon Bonaparte,Montesquieu,Rousseau,2,Napoleon seized power in 1799 and became Emperor in 1804.,easy
05_age_of_revolution,napoleonic_code,What legal reform did Napoleon introduce that influenced many modern legal systems?,Magna Carta,Napoleonic Code,Treaty of Versailles,Holy Alliance,2,The Napoleonic Code standardized laws and promoted legal equality for male citizens.,normal
