series,scientist,q,c1,c2,c3,c4,answer,explanation,difficulty
mechanics,pascal,Which mountain experiment did Pascal conduct to show pressure changes with height?,Mont Blanc experiment,Puy de Dôme experiment,Matterhorn test,Mount Etna trial,2,Pascal arranged measurements at different elevations on Puy de Dôme.,hard
mechanics,pascal,"In hydrostatics, pressure at a given depth depends mainly on what?",Container shape,Fluid density and depth,Color of fluid,Surface area only,2,"Hydrostatic pressure depends on density, gravity, and depth (P = ρgh).",hard
mechanics,pascal,Pascal’s work on probability theory was developed in correspondence with which mathematician?,Descartes,Fermat,Euler,Gauss,2,Pascal and Fermat laid the foundations of probability theory.,hard
mechanics,lagrange,In what year was Joseph-Louis Lagrange born?,1707,1736,1749,1768,2,Lagrange was born in 1736 in Turin.,easy
mechanics,lagrange,Lagrange reformulated classical mechanics using which quantity instead of force?,Momentum,Energy,Angular velocity,Pressure,2,Lagrangian mechanics is based on energy rather than directly on forces.,easy
mechanics,lagrange,What is the Lagrangian defined as?,T − V,T + V,V − T,F · d,1,The Lagrangian L is defined as kinetic energy minus potential energy (L = T − V).,easy
mechanics,lagrange,Which equation forms the core of Lagrangian mechanics?,Navier–Stokes equation,Euler–Lagrange equation,Maxwell’s equations,Wave equation,2,The Euler–Lagrange equation gives the equations of motion from the Lagrangian.,normal
mechanics,lagrange,The Euler–Lagrange equation is derived using what mathematical concept?,Matrix diagonalization,Variational principle,Fourier transform,Vector cross product,2,It comes from the principle of stationary action.,normal
mechanics,lagrange,Lagrangian mechanics is especially useful when dealing with what type of systems?,Simple linear motion only,Systems with constraints,Only gravitational systems,Only fluid systems,2,It simplifies treatment of systems with constraints using generalized coordinates.,normal
mechanics,lagrange,What are coordinates used in Lagrangian mechanics called?,Cartesian coordinates,Polar coordinates,Generalized coordinates,Inertial coordinates,3,Lagrange introduced generalized coordinates adapted to constraints.,normal
mechanics,lagrange,Which principle states that the path taken by a system makes the action stationary?,Conservation of energy,Principle of inertia,Principle of least action,Uncertainty principle,3,Lagrangian mechanics is based on the principle of stationary (least) action.,hard
mechanics,lagrange,"Compared to Newtonian mechanics, Lagrangian mechanics avoids explicitly using what?",Energy,Time,Force,Vector components,3,It does not require direct use of forces; equations come from energy functions.,hard
mechanics,lagrange,Which later formulation of mechanics is closely related to Lagrange’s work?,Hamiltonian mechanics,Quantum field theory,Thermodynamics,Relativity,1,Hamiltonian mechanics developed directly from Lagrangian mechanics.,hard
mechanics,lagrange,Which famous celestial mechanics work did Lagrange contribute to?,Mécanique Analytique,Principia Opticks,Traité de Dynamique,Celestial Harmonies,1,Mécanique Analytique systematically reformulated mechanics using analysis.,normal
mechanics,lagrange,What is minimized or made stationary in Lagrangian mechanics?,Force,Energy,Action,Momentum,3,The action integral is made stationary.,hard
mechanics,lagrange,"In the Lagrangian framework, equations of motion are derived from what?",Differentiating momentum,Applying Newton’s third law,Setting δS = 0,Balancing forces directly,3,The condition δS = 0 (variation of action equals zero) gives the equations.,hard
mechanics,lagrange,Lagrange points (L1–L5) are solutions in which field?,Electromagnetism,Fluid mechanics,Celestial mechanics,Thermodynamics,3,They are equilibrium points in the restricted three-body problem.,normal
mechanics,lagrange,Lagrange’s reformulation of mechanics reduced the need for what geometric reasoning common in Newton’s work?,Vector diagrams,Algebraic manipulation,Calculus of variations,Numerical tables,1,His analytic method reduced reliance on geometric constructions.,hard
mechanics,hamilton,In what year was William Rowan Hamilton born?,1736,1805,1824,1853,2,"Hamilton was born in 1805 in Dublin, Ireland.",easy
mechanics,hamilton,Which formulation of mechanics is named after Hamilton?,Vector mechanics,Hamiltonian mechanics,Relativistic mechanics,Quantum field mechanics,2,Hamiltonian mechanics reformulates classical mechanics using the Hamiltonian function.,easy
mechanics,hamilton,The Hamiltonian H often corresponds to what physical quantity in many systems?,Momentum,Force,Total energy (T + V),Action,3,"For many classical systems, the Hamiltonian equals total energy (kinetic plus potential).",easy
mechanics,hamilton,Which pair of variables are central in Hamiltonian mechanics?,Force and acceleration,Position and velocity,Position and momentum,Mass and energy,3,Hamiltonian mechanics uses generalized coordinates q and conjugate momenta p.,normal
mechanics,hamilton,Hamilton’s equations express time evolution using what type of derivatives?,Ordinary derivatives only,Partial derivatives,Vector gradients,Second derivatives only,2,Hamilton’s equations involve partial derivatives of H with respect to q and p.,normal
mechanics,hamilton,Hamilton’s equations are typically written in terms of q and what symbol for momentum?,v,F,p,L,3,The conjugate momentum is denoted by p.,normal
mechanics,hamilton,Hamiltonian mechanics is mathematically closely related to which field?,Thermodynamics,Symplectic geometry,Fluid statics,Elasticity theory,2,The formal structure of Hamiltonian mechanics underlies symplectic geometry.,hard
mechanics,hamilton,Which principle connects Hamiltonian mechanics to optics?,Archimedes’ principle,Fermat’s principle,Pauli exclusion principle,Heisenberg uncertainty principle,2,Hamilton developed an analogy between mechanics and Fermat’s principle in optics.,hard
mechanics,hamilton,Hamilton’s formulation plays a foundational role in which modern theory?,Classical thermodynamics,Quantum mechanics,Fluid turbulence,Continuum elasticity,2,Quantum mechanics is largely built upon Hamiltonian formalism.,hard
mechanics,hamilton,"If the Hamiltonian does not explicitly depend on time, what is conserved?",Force,Velocity,Energy,Mass,3,"When H has no explicit time dependence, total energy is conserved.",normal
mechanics,hamilton,"Compared to Newtonian mechanics, Hamiltonian mechanics emphasizes what property?",Geometric symmetry,Frictional forces,Empirical measurement,Experimental apparatus,1,The Hamiltonian formulation highlights deep geometric and symmetry structures.,hard
mechanics,hamilton,The transformation from Lagrangian to Hamiltonian mechanics involves what mathematical operation?,Fourier transform,Legendre transform,Matrix inversion,Vector rotation,2,The Hamiltonian is obtained from the Lagrangian via a Legendre transform.,hard
mechanics,hamilton,Which mathematical object introduced by Hamilton extends complex numbers?,Tensors,Matrices,Quaternions,Vectors,3,"Hamilton invented quaternions, extending complex numbers to four dimensions.",normal
mechanics,hamilton,Hamilton’s quaternions are especially useful in describing what?,Heat transfer,Planetary temperature,Celestial color,Rotations in three dimensions,4,Quaternions are widely used to describe 3D rotations.,normal
mechanics,hamilton,Hamiltonian mechanics replaces second-order equations of motion with what type of system?,Algebraic equations,Fourth-order equations,Coupled first-order equations,Random equations,3,Hamilton’s equations form a system of coupled first-order differential equations.,hard
